user_id,city,n_pano_visited,n_pano_with_label,n_keyboard_interaction,n_pan_interaction
6ab0ea11-9cd2-492f-b750-2e83aa140f29,chicago,82,25,29,4877
6b27cdbf-31cb-4354-bea2-4dbf3b6e7a7b,chicago,61,7,55,2843
6c19dbce-e6da-4889-b90f-51c4ce2443cc,chicago,52,7,4,1176
72a5b5f8-a0b0-44d4-921e-6f6f0542e3ec,chicago,43,12,0,4998
732ce1a4-466c-4138-a7f8-9fa8e5af2da8,chicago,13,3,0,2390
74854895-0966-4df2-86a2-413bec7225fd,chicago,37,10,9,2661
74d34b28-1e9b-4c7b-aee2-2cf89e9e266f,chicago,24,6,113,1917
75f203d2-544f-4b2d-9d49-d257b0246b50,chicago,52,14,26,4519
814f4169-98a1-4afa-80da-3b46be1da405,chicago,721,259,1131,26116
81cebbb1-343f-446e-b5cb-5efdf48363d6,chicago,216,42,0,19197
82b8e2ec-e7f0-4106-a642-cc7f49855af7,chicago,199,23,6,13569
8a6334f8-1ebe-451b-a74e-d5f98a85418c,chicago,87,31,14,13464
8ad91458-8a3d-4604-84bb-72aab652940d,chicago,62,17,3,3544
94e81be1-7763-4dbd-9a30-eb50b19d657b,chicago,75,20,12,6868
952ae94a-4371-4eab-9f55-11d09899d210,chicago,896,180,663,36774
973046bf-cbaf-4ba6-84b4-5611a9a961cd,chicago,348,48,31,21016
97f8fc95-f287-4e5e-a3b2-dd0fd82c11e5,chicago,522,24,87,34739
98053cdf-bf76-4294-91bb-4acc128827a2,chicago,60,17,55,3530
9cbf022a-1c7a-45ab-8eb4-ba4080ed97a3,chicago,2837,713,79,67606
9eff1ebb-c702-4ac9-b580-b3897e2b8ec8,chicago,144,60,610,12314
9fa69d20-d5ab-45ab-80f0-ffb88009b5a5,chicago,22,10,0,1644
a0f260db-6570-4ab6-94dc-416c358503b5,chicago,30,9,6,3825
a14eead9-c761-4086-ae93-a3dab5d72f7f,chicago,43,15,16,3537
a1eb95bb-49f8-4d96-8e20-2e247395be55,chicago,20,12,83,4668
a64157bb-58a6-4f21-996a-bec599165167,chicago,265,44,257,11509
b53fe4a3-87e6-4696-a5d8-a73aeeeed2b8,chicago,31,7,35,4044
b72d8e62-de6e-4fb0-8893-f458fe7fdcbf,chicago,2429,548,3624,109005
b74db16e-91e2-43d3-ba71-f8fc30c3f97a,chicago,33,22,178,7916
b8e1865f-651f-4bbc-8752-19dae915863c,chicago,184,22,16,11443
b9e9570a-6924-4066-9e84-c61724068236,chicago,111,39,55,11159
bb3f9414-bb24-4037-93d3-ebeab1c886de,chicago,18,17,99,1765
bb767842-4ded-4850-ab16-6494fd8cbe00,chicago,44,7,0,2173
c359b3b8-1bcc-4e0b-a576-90588be16cb9,chicago,185,41,84,8606
c50a2d57-df47-42bf-bc3c-036240c9a482,chicago,48,15,141,6702
c86e9985-e279-4062-bc8e-c37791b0d7d2,chicago,182,26,207,17890
cbabe074-6e17-48c9-8737-2bf2c651567a,chicago,42,13,22,7889
d157d2ce-bf3a-482f-a5c2-df521f0f031d,chicago,143,61,2,19507
d32bb382-44e4-4268-8979-0dadbe1b404a,chicago,66,37,39,4016
d469acc4-5abb-440c-9e37-b2d0514762d0,chicago,25,6,11,2703
d4b81581-197b-44e6-9f2e-a7fbcbdbc77a,chicago,47,12,3,3576
d557c8f0-9aff-401e-81cb-c54a9b2a25ba,chicago,137,24,54,8777
db27c555-0284-487a-8e79-272c616258f3,chicago,1143,155,827,22077
deb409e6-34cc-4f9f-a677-f36b0e81645d,chicago,47,20,27,5682
e2546bb4-7be3-4fca-b214-3bc19c9db539,chicago,68,7,47,6419
e3b6686d-fb31-4307-a08a-e7661297213d,chicago,41,25,6,4726
e4239994-6d5e-4993-bdea-ee0bb6664274,chicago,53,10,10,2835
e6e3d629-d120-488a-a540-ac9574b1abec,chicago,35,13,91,2148
e900c65b-9c31-4f78-bf0f-132ecf07e533,chicago,283,27,71,21770
ea215ccb-6110-4b80-b0ba-0b8462efe658,chicago,57,17,16,4519
f7c35be6-fca4-4749-a229-4ae7855f9f9a,chicago,76,8,0,8956
fb7ecc4b-00d4-4f6e-86f7-fecbe395f8fc,chicago,96,17,103,6851
fc231693-a807-4a81-9234-1aead8e98a9b,chicago,21,8,18,2983
fd9792a9-42af-4cc2-a9c4-0de7ef374530,chicago,23,7,0,2550
001a41c7-cd74-411c-9e3f-959733a916c2,newberg,809,270,831,51020
04b21fd2-b61e-4f6f-a65f-3acbc1acd035,newberg,573,216,759,30467
0d82aef4-6e04-4716-b112-b59f8023c1ba,newberg,30,8,120,4288
203b0e3f-b84d-4444-a99c-5c8398edaf2d,newberg,31,11,0,375
25469ce5-6a0e-4d5f-a3c8-385c6b4799e9,newberg,423,149,411,8501
25844007-c551-44a1-bc86-fdcdf3de77d4,newberg,2644,893,1322,395113
25d1bc9a-56a4-433b-8ffb-82309fecf949,newberg,784,350,873,30509
25de5311-d5d8-4e60-92e0-a3f0d982afd0,newberg,20,4,304,2466
2ee211aa-929d-4980-bbc1-bc90dd2e7eb9,newberg,36,11,65,7191
2fc4205e-f7c6-4fe1-9864-abf367b85f2a,newberg,35,14,6,5214
30108385-8b67-4e45-bff0-3f8d14039205,newberg,16,8,4,4282
31a1671f-e0f4-430c-810b-b6b1c20772d7,newberg,2282,895,8403,135814
34119a60-06b6-4a72-9869-efe536f9585d,newberg,34,11,76,1397
3b651886-d44f-4c83-ac79-fcef48f28d38,newberg,62,30,61,1137
414039e1-808f-4ff9-b555-fb3481fda22a,newberg,159,43,46,19146
4a3988ee-5948-43e4-9c98-f5afde10549f,newberg,37,9,14,2827
50756c2c-1b50-4e3e-a716-396a3f18ed63,newberg,30,10,128,6632
5178da87-73e2-4871-9bfe-6ca9b3818f88,newberg,60,30,93,10476
53c06498-dc15-40c3-895c-548f3102d528,newberg,1026,426,2353,39655
5712b6ad-c467-4c08-9250-ac4f51f36b09,newberg,105,20,45,8510
5847cb73-43a1-46d9-8571-75bc60567721,newberg,103,19,0,3444
5adc13e9-6f72-4419-804a-42c0bcf1eec3,newberg,197,46,66,23615
5aea30f6-185f-4e67-82b2-b22886e8817d,newberg,29,4,0,2340
5c35be9b-25d1-4e28-b232-7fc5972e78f0,newberg,201,10,56,3824
5d7ff910-b25f-43bd-86d2-97f48be6e493,newberg,17,9,0,2194
67f3aa16-ad56-415f-9802-15edf491280e,newberg,52,21,407,8650
6a2e6c25-8f75-4375-afab-ae9793a572ea,newberg,20,17,366,2113
828a28ed-0b3f-438a-8fdc-18f2b87d7936,newberg,18,9,0,1250
83409ab0-2e67-41a7-987c-b3d09ac4d4e1,newberg,10,6,0,1744
8415a483-a9ce-43cd-9d11-4baaa6fc65ce,newberg,1949,602,3010,58800
84715d5e-ea12-439a-aa2f-053b591a45e9,newberg,455,136,569,8709
936dddf6-24a4-4706-b20f-1b8bddf0afe9,newberg,272,20,1,5693
941d275e-d2b1-438c-b445-9fbe323e71d1,newberg,424,189,2643,26921
9bcc6e2a-2743-402a-9dbf-2da31914af0a,newberg,60,6,364,1443
a050a3bd-6dbc-4110-87c1-931ab23ef243,newberg,2386,845,6413,383804
a5e38991-dc2f-44df-9968-d63a2916e413,newberg,513,209,572,11705
a64b22de-3318-4227-83c7-0763e5a4183e,newberg,43,18,0,1402
a9715657-11d9-4a7c-8925-3a71f6882af2,newberg,23,11,247,5758
aa0cf6d5-177b-43e6-8a87-1dc1010892a4,newberg,15,8,4,1177
ad1c7e12-e199-49e4-bc91-d010d3d27145,newberg,17,13,0,1958
aef4d0ad-1ff7-4af6-a0be-e616460441d5,newberg,38,13,7,672
b42e6096-310c-469d-b180-b86bd0b1764b,newberg,77,23,0,1137
b66ee22f-d58a-495c-aeb5-ed809b962a6b,newberg,21,8,214,5250
b6aafdb5-4aed-4f55-a932-a5bc8f737444,newberg,91,19,169,5140
