user_id,n_pano_visited,n_pano_with_label,n_keyboard_interaction,n_pan_interaction
3e2f3ebd-9118-41ad-823b-ca66aeb3cf8b,86,32,118,5371
3edd2ea9-635b-40af-8a1a-d393433c59b4,26,12,86,4110
3f23e080-7bfa-4e8c-8a43-ef9a5b832f84,24,10,0,2281
3fad51df-289e-4707-a4a5-044f90b1a12b,49,18,733,2285
3ffd7275-cdba-45c1-96ef-cfa974321233,59,34,53,8910
40612105-3371-4252-8887-ccbeff051b61,37,5,158,3165
4063e1a3-68ac-4765-ae68-13052799b527,142,14,1,11874
40a14254-4d12-471e-bb9e-202677f88d1b,69,14,146,11141
4160996f-d62a-4661-a9ab-24925f12c246,29,18,0,2475
41c61b8c-2d96-4a44-a06f-eeeb9d579c94,27,9,60,3658
427d8fce-1818-4f51-bf38-5f06b7fff7f2,63,13,0,3574
4382d449-c724-429b-b653-cc817729f7bf,28,13,0,9515
43bf89e5-ff19-40b6-b945-44dd6882a78c,103,9,0,7852
441db577-0f90-4ebb-b597-45bbb525e57d,61,15,0,3769
441fee65-efc0-4162-8f57-bfd0f31b9ef1,18,2,0,1724
45262ae2-5845-4c16-a612-3a42f87bf1ad,19,4,3,1600
4761a83c-d4af-4847-892b-f340b8fcfe06,44,25,420,8224
47655c31-950c-41d9-856c-ec610a3172b1,38,19,115,4770
490b055c-0108-4e77-a5ba-7018c993fc22,17,8,0,2619
4952a990-7be5-4417-a877-555ac95e78d7,38,9,88,4311
49723673-044d-4b47-855b-3bdebfe37073,6622,1178,5619,210566
4988b6ff-57aa-4fd2-8c9a-58030beb0b93,17,9,63,10632
49a3bd8c-fdaa-4383-9bd9-50cd1fc9b163,98,19,273,10572
49b43550-01f1-44ac-8054-8e3236596d0f,85,22,103,8510
4ad8426c-d805-460f-947a-c9f5768ffd9f,3,2,0,829
4b2591bb-7b1f-493d-8a7e-e6e0dd52b04a,164,47,28,12329
4cd005d8-60e9-4765-a58d-2b139694ea20,138,21,23,6007
