user_id,n_pano_visited,n_pano_with_label,n_keyboard_interaction,n_pan_interaction
47d7b46e-920b-41ee-8168-df4e2309d420,255,144,58,41912
49205e3d-9bc1-49b9-a2fc-a255100f7564,1118,317,221,113230
493b19b9-226c-4234-9412-8955c0c89928,3125,958,6591,128748
49663d71-cde2-4011-96e5-751ff82d8ce7,479,228,317,17863
49ba8f58-d1cd-40f4-ac0c-a09821af81b2,28,10,7,1674
4a619e3b-7e55-4220-a706-732e8c24b1d8,497,197,388,8297
4ad8c333-6da3-4249-b1ba-ce33a163d768,162,119,912,10806
4b5315b6-437b-4b9b-a6ce-c772102c2f2e,175,136,1223,22684
4ba38d6d-efc6-450f-83b0-56ced37739c2,1130,577,48,71617
4c1fb36d-e8ae-48f8-8b9a-c08b80694363,2734,1538,2422,104752
4c79f441-4324-425e-848e-ec35fdaffdf7,512,361,0,59982
4d12cb90-e10a-49e8-84fb-d2d0473f1b8b,1085,400,5,135378
4fa80f8a-d08a-4293-89ab-72e3fbb080a0,33,14,6,3001
5034b0e1-7114-45a9-ac3e-90477bed3be7,590,228,0,38576
50f18fd4-7adf-47aa-9ca2-42fc3902efbc,18,12,1,4973
517740f9-e50c-4a7a-ae1b-1aae3beb6a6d,239,101,179,21777
52069cbf-ff0b-49cb-a1a3-e537271cbeef,593,89,43,28710
53aa84bc-7107-4149-9e56-5e3eb2b13470,143,27,324,14794
53bef5db-6cd9-41c2-bf6c-67d47830b949,925,444,1408,189249
551f1ca9-d13c-4a8b-8f10-c83e4ce16010,23,13,116,4355
565607d4-d483-44c0-9634-1f05126b34a9,1086,452,102,42240
56c4f82f-aa82-4998-9767-09c3cd87e0f2,101,54,0,15980
57a91b09-5f18-4a52-8d1b-6cf27128b749,118,53,124,10686
5863bc0c-729d-4fbb-b3c8-2b5b257afb6a,28,10,0,3427
58f025ba-78a0-4277-b312-a03f089165a0,52,23,2,7206
5979098e-8bbf-4abc-8276-683d5c661b25,598,179,30,21280
5a12a500-54b9-4b51-9ab9-8a52ca495026,225,126,57,12720
5a560915-3990-4af5-a3c0-c9c20c288959,281,186,3173,52285
5aa60411-8a71-4f53-8e94-88ae6c963d2d,23,11,51,3439
5bb22a17-a4bd-4121-9003-8f5df319121f,1072,458,9,76029
