user_id,n_pano_visited,n_pano_with_label,n_keyboard_interaction,n_pan_interaction
8d8600eb-c514-40bc-9b08-9f35e23c5993,48,33,183,3655
8db9ac09-def5-4c41-936d-d14ac6b162cd,697,370,462,34806
8f6f2b72-41e4-4d1d-aafe-bf2bcc2850ff,15,7,12,1099
9283a991-96c5-4da7-9617-db2a299e77de,808,52,167,52925
92cbe359-45e6-4b42-9770-12d9f097086c,162,70,323,8165
92ffd90a-c988-442c-8779-60fda1edf2f5,405,217,41,40363
992fbd04-937f-4ee5-bc5b-9b4ed879f68c,255,118,109,18791
9cc2aeca-d6d1-4034-9a3f-bfdcc661ebfc,357,53,78,14841
9d6b12df-8cac-4eb3-9e82-64988d568ad2,513,64,367,19658
9da36e14-7d56-4999-9ffd-9e842918699b,460,109,70,36378
a4d4151e-4919-42fb-9816-c5688d046360,185,38,14,3485
ac8218a5-6493-44f4-ba05-a4582584d866,547,93,58,57926
b03fbaa0-1549-4279-a732-eae2dd4e0680,272,56,237,14481
b41a5996-7975-4865-a67a-196589cd687d,720,358,279,60482
b4c61d9d-1d8a-48ae-b505-069a458a975c,19,16,816,2586
b7f85a9b-b222-4b6b-9e0e-d05aba524788,661,255,267,72604
b8ad7b6e-75fc-4189-aa59-dd320183b9c0,142,21,21,17910
bad5d229-eea4-4cc4-a9f5-ad658bc9d5b7,18,7,0,1408
bc2920ef-6014-4a44-9628-583fc650d52e,377,184,18,12295
bc9789f5-1c21-4720-bc59-0b2f7325f121,567,248,124,13416
be1d15ff-2b8c-4d7e-90bb-47e88cf32f4a,27,12,112,3657
bf718806-7ad5-45d9-9c65-68c236de3946,167,34,57,22231
c08ab119-409c-4b26-9bdd-866052119e3a,18,13,27,2868
c173e908-92f7-474c-bed4-f52f532c125a,503,39,3,11274
c1c83f10-1531-4076-8a6a-bbead8a7f23c,125,18,66,14426
c23a3cdc-e2ba-4b09-8ab8-34f52acec9e5,50,34,16,8854
c395aaac-73c3-43cc-ae9f-5d9757da0602,723,341,448,40242
c5dcc5bc-2527-47e7-b41c-d0c0b1b905c7,373,232,51,31754
c6f3117c-9e97-4b06-a3bf-f9cab61276e4,53,23,211,6730
c79ed3b7-45ba-4701-bac8-1490c8f5c0c5,259,49,116,11314
c99bbd5f-bec9-42fc-b034-ee26134524ff,51,21,2,4030
c9b6b86a-7210-4fc0-b1cb-58c4a9f50870,532,183,166,18710
cb23159e-b73c-4ac0-9f95-eae495722942,23,8,0,1668
cd8e709f-7c95-438d-9b1b-72f1efb449af,380,130,11,51881
d05c0542-1c7c-4dd5-8358-a919db3b0a56,42,18,162,8309
d1bf0f56-7f37-48da-b17c-0d962a5f8530,202,21,88,16283
d1de3474-4478-45e3-818a-05e0b7343dbe,694,156,20,42724
d3ad268d-17fe-4150-a23e-88de47e6446c,164,74,87,19888
d642d61f-1142-433a-8a57-aa652efc3c75,22,13,12,1900
d9278200-e9a1-4b3d-ad62-5f91d4ec67e1,104,18,42,19480
dc546b14-1819-4689-a0ee-70e9905a9ac2,146,93,0,21754
dd37a678-d7b1-4b8c-af29-4c69ee651baf,169,104,208,7204
dfd2abbd-f5c1-430f-b3dd-a59c8bfc0c6e,17,6,0,3931
e0271bbb-43f8-4797-a233-b0998e5adee3,175,34,8,11261
e3ad768b-5867-4c9c-b733-d05ac77add70,6,4,516,824
e63ac5ea-db9d-4266-8790-4a25679c3362,319,71,46,39064
e6d19c2f-36e7-48b4-ba82-149946fc9f6e,408,47,27,10314
e90cad01-3a21-4176-9064-cf85b417d650,994,262,193,51714
eaac2f4a-39b3-4319-8317-bf1b74030c34,303,24,18,16699
ebefa918-3e85-4d4d-9b2f-11413b44bcb8,26,9,16,4302
edfaa79f-ccf7-4029-8f9b-61237aa98560,913,153,19,45969
f019a5f3-abb7-4e7b-aef6-1751f8f36f1d,1141,468,4395,107905
f0b5c32a-ea9b-4201-8f61-b139789239ad,180,118,427,58087
f157e40b-cb36-42e6-af55-491b96881c93,521,75,0,14285
f1c1480d-bf0d-4f91-aa7f-e491e7e77176,2377,1081,2530,146092
f30b2612-3a70-4549-905f-3c168d4dcc78,462,176,120,30576
f930b68d-4f92-45ca-9ccf-0c5f98d630a3,672,178,279,34526
fb418bf0-ae14-4bec-8077-85a2643b2169,483,188,108,29811
fc3b7f44-3f49-44d9-8fae-4ea83eee6347,161,36,42,5810
fc4bf83f-9007-4fb8-8faf-2768f5357b1f,538,164,88,26694
fe39c951-7262-4169-b6ec-05e0c9f47130,50,41,336,9947
ff3e7a7f-ec9d-41f6-92f5-c22b0237f4c8,184,77,124,11798
